"CD_RES_SECTOR","INDICATOR","MEASURE"
"11029A00-","score",16.6496956246441
"11029A01-","score",7.80120518058292
"11029A02-","score",5.70424129805613
"11029A041","score",14.9634233473226
"11029A07-","score",14.1680208064033
"11029A10-","score",10.2660329403011
"11029A11-","score",7.79016563048348
"11029A12-","score",7.61165068837566
"11029A13-","score",10.7828951478732
"11029A14-","score",10.5446219075979
"11029A172","score",15.2603969693575
"11029A191","score",37.5432778833896
"11029A201","score",16.9483837070668
"11029A211","score",7.14397262156569
"11029A22-","score",9.41600725854499
"11029A232","score",8.51034096898344
"11029A242","score",5.12690295196338
"11029A282","score",17.6928652557661
"11029A301","score",6.98135789652658
"11029A372","score",17.9537221545726
"11030A00-","score",17.0469433047237
"11030A01-","score",21.0563547542174
"11030A02-","score",13.0269530483686
"11030A03-","score",14.8442437416759
"11030A091","score",12.0797777725785
"11030A10-","score",22.5799924936784
"11030A17-","score",12.8342108826312
"11035A000","score",8.09146893887511
"11035A01-","score",4.31393294534734
"11035A022","score",3.08989694154726
"11035A08-","score",4.05309203409642
"11035A091","score",10.4928563692868
"11035A10-","score",3.75629877991004
"11035A20-","score",4.61128231230702
"11035A29-","score",6.06222664253837
"11035A30-","score",7.94006517338447
"11035A39-","score",6.43566962122609
"11035B00-","score",10.7128908875003
"11035B010","score",4.84768021612006
"11035B02-","score",5.01129374690734
"11035B032","score",5.95103934373832
"11035B043","score",6.45622174075673
"11035B080","score",5.78337310077415
"11035B091","score",14.2755173050939
"11035B19-","score",6.22813255992053
"11035B2MA","score",9.17796546561306
"11035B2PA","score",6.45481003955761
"11035C00-","score",8.29791425946363
"11035C01-","score",4.72884611092256
"11035C022","score",5.34618160881854
"11035C081","score",8.08454766449103
"11035C09-","score",8.24285646284004
"11035C19-","score",5.78734416315461
"11035C29-","score",11.1481728848026
"11035C39-","score",8.1830715307432
"11035D001","score",11.4681051432429
"11035D012","score",6.04375686005141
"11035D0AA","score",5.17768516581342
"11035D0PA","score",3.88790053709989
"11035D10-","score",5.63009219489966
"11035D19-","score",13.4633860501868
"11037A01-","score",4.98284435739206
"11037A02-","score",15.3884245888499
"11037A032","score",4.67403789379533
"11037A080","score",16.6331684302603
"11037A091","score",7.41864049140094
"11037A0ON","score",9.88974719153238
"11037A10-","score",11.6956732921187
"11037A19-","score",8.18587400409474
"11037B00-","score",26.4025664008391
"11037B01-","score",19.4145146334067
"11037B022","score",38.705587797671
"11037B091","score",22.9235585585305
"11037C000","score",4.81131624277467
