"CD_RES_SECTOR","score","rank","deciles"
"11021A01-",4.28697659431699,18079,10
"11021A02-",4.53258754995307,17971,10
"11021A03-",4.62154845777834,17925,10
"11021A04-",3.4204577866557,18406,10
"11021A052",3.16689256801495,18479,10
"11021A062",2.75881621453905,18582,10
"11021A081",0.900809785080823,18758,10
"11021A19-",5.58192126558354,17371,10
"11022A001",9.17749925677399,14380,8
"11022A012",3.43888052339639,18400,10
"11022A02-",7.75316441155845,15706,9
"11022A032",6.01739606104106,17067,10
"11022A080",8.27046763047077,15227,9
"11022A091",6.13629294738675,16967,10
"11022A10-",6.58825642703222,16636,9
"11022A11-",5.55850628687516,17389,10
"11022A120",5.76674319857782,17226,10
"11022A132",1.81047792013832,18715,10
"11022A181",3.89552210369823,18253,10
"11022A19-",8.10549772344385,15378,9
"11022A201",10.1972514347642,13438,8
"11022A21-",6.30328334846706,16853,9
"11022A22-",7.23679527071783,16148,9
"11022A232",5.6821444860386,17302,10
"11022A28-",3.2264906820284,18462,10
"11022A2AA",7.79569478335077,15668,9
"11022A2MA",7.70856490707611,15752,9
"11022A30-",12.7797303725123,11203,6
"11022A31-",12.2576598409062,11613,7
"11022A322",4.95774249925123,17762,10
"11022A382",11.2409944257413,12488,7
"11022A39-",9.52727919545486,14067,8
"11022A401",16.0935272640056,8697,5
"11022A412",6.93445194492396,16374,9
"11022A423",8.10825713321691,15372,9
"11022A48-",15.3250951221007,9189,5
"11022A49-",14.6736328526587,9681,6
"11022A50-",11.2641451966372,12469,7
"11022A582",5.64973516892784,17330,10
"11022A682",4.38951227881602,18045,10
"11022A692",6.35854514568569,16815,9
"11023A00-",11.4130516244947,12354,7
"11023A01-",5.32693262433358,17543,10
"11023A02-",5.79955013115697,17202,10
"11023A03-",7.87091398946671,15600,9
"11023A04-",9.68900059513564,13934,8
"11023A050",10.2696041977901,13369,8
"11023A062",5.06571279111187,17707,10
"11023A08-",12.7840499628357,11196,6
"11023A091",7.81680959132717,15649,9
"11023A10-",10.3583293851611,13287,8
"11023A11-",12.6890294870372,11288,7
"11023A122",2.50436675927903,18635,10
"11023A133",10.0705859117431,13576,8
"11023A191",8.54527958702512,14974,8
"11023A200",8.43844719592165,15070,9
"11023A212",11.9440079175677,11878,7
"11023A280",8.10814301390376,15373,9
"11023A291",13.6351946480692,10521,6
"11023B30-",5.62380449997972,17344,10
"11023B31-",10.2661308979843,13374,8
"11023B32-",5.12356054293878,17681,10
"11023B330",9.30326222562092,14275,8
"11023B391",14.4237557991949,9885,6
"11023B40-",6.85962664297446,16418,9
"11023B49-",3.00129066828592,18522,10
"11024A00-",17.2986729813131,7942,5
"11024A01-",6.15221633324006,16957,10
"11024A02-",5.72079185946232,17267,10
"11024A03-",13.8090260450273,10364,6
"11024A04-",5.52040613208085,17407,10
"11024A05-",4.4131886490333,18024,10
"11024A072",8.21083449298728,15283,9
"11024A09-",5.44366182520335,17452,10
"11024A10-",8.10800038888687,15374,9
"11024A111",7.05133597042103,16287,9
"11024A132",6.3182634345521,16842,9
"11024A191",9.35212109165443,14218,8
"11024A1MA",3.86445747982575,18266,10
"11024A1PA",7.84265759617039,15627,9
"11024A200",7.9819743901263,15484,9
"11024A210",5.21949673918356,17612,10
"11024A220",3.97107663141782,18222,10
"11024A280",3.99001707659931,18214,10
"11024A291",8.65892012828057,14853,8
"11024A30-",6.92589577927689,16378,9
"11024A412",3.88483384086724,18259,10
"11024A423",4.06491712060549,18179,10
"11024A434",4.52765782315288,17972,10
"11024B00-",6.85284386362543,16425,9
"11024B012",7.06497120092686,16277,9
"11024B08-",8.15193899648048,15340,9
"11024B091",3.46524240804747,18389,10
"11024B190",8.58275345381858,14933,8
"11025A000",5.72229363469936,17265,10
"11025A01-",7.9980206170355,15471,9
"11025A02-",3.13633050372305,18486,10
"11025A042",1.66992930794404,18726,10
"11025A053",2.02306631824541,18689,10
"11025A08-",1.28525918480296,18745,10
"11025A091",7.02184754273357,16310,9
"11025A184",2.59422002690623,18614,10
"11025A19-",3.16094027670109,18481,10
"11029A00-",16.6496956246441,8325,5
"11029A01-",7.80120518058292,15658,9
"11029A02-",5.70424129805613,17282,10
"11029A041",14.9634233473226,9455,6
"11029A07-",14.1680208064033,10074,6
"11029A10-",10.2660329403011,13375,8
"11029A11-",7.79016563048348,15672,9
"11029A12-",7.61165068837566,15846,9
"11029A13-",10.7828951478732,12894,7
"11029A14-",10.5446219075979,13123,7
"11029A172",15.2603969693575,9233,5
"11029A191",37.5432778833896,1875,1
"11029A201",16.9483837070668,8161,5
"11029A211",7.14397262156569,16218,9
"11029A22-",9.41600725854499,14159,8
"11029A232",8.51034096898344,15005,8
"11029A242",5.12690295196338,17676,10
"11029A282",17.6928652557661,7714,5
"11029A301",6.98135789652658,16332,9
"11029A372",17.9537221545726,7575,5
"11030A00-",17.0469433047237,8090,5
"11030A01-",21.0563547542174,6016,4
"11030A02-",13.0269530483686,11011,6
"11030A03-",14.8442437416759,9554,6
"11030A091",12.0797777725785,11768,7
"11030A10-",22.5799924936784,5403,3
"11030A17-",12.8342108826312,11145,6
"11035A000",8.09146893887511,15388,9
"11035A01-",4.31393294534734,18072,10
"11035A022",3.08989694154726,18499,10
"11035A08-",4.05309203409642,18189,10
"11035A091",10.4928563692868,13169,8
"11035A10-",3.75629877991004,18299,10
"11035A20-",4.61128231230702,17928,10
"11035A29-",6.06222664253837,17027,10
"11035A30-",7.94006517338447,15522,9
"11035A39-",6.43566962122609,16758,9
"11035B00-",10.7128908875003,12959,7
"11035B010",4.84768021612006,17797,10
"11035B02-",5.01129374690734,17735,10
"11035B032",5.95103934373832,17105,10
"11035B043",6.45622174075673,16739,9
"11035B080",5.78337310077415,17214,10
"11035B091",14.2755173050939,9986,6
"11035B19-",6.22813255992053,16908,10
"11035B2MA",9.17796546561306,14379,8
"11035B2PA",6.45481003955761,16741,9
"11035C00-",8.29791425946363,15203,9
"11035C01-",4.72884611092256,17866,10
"11035C022",5.34618160881854,17527,10
"11035C081",8.08454766449103,15396,9
"11035C09-",8.24285646284004,15254,9
"11035C19-",5.78734416315461,17210,10
"11035C29-",11.1481728848026,12571,7
"11035C39-",8.1830715307432,15309,9
"11035D001",11.4681051432429,12313,7
"11035D012",6.04375686005141,17041,10
"11035D0AA",5.17768516581342,17645,10
"11035D0PA",3.88790053709989,18257,10
"11035D10-",5.63009219489966,17341,10
"11035D19-",13.4633860501868,10653,6
"11037A01-",4.98284435739206,17748,10
"11037A02-",15.3884245888499,9146,5
"11037A032",4.67403789379533,17898,10
"11037A080",16.6331684302603,8337,5
