"CD_RES_SECTOR","INDICATOR","MEASURE"
"11002S12-","score",22.0776397212531
"11002S13-","score",24.7038661397347
"11002S19-","score",12.8107812142256
"11002S20-","score",39.3682386872861
"11002S28-","score",25.9029123907501
"11002S30-","score",56.2961071763696
"11002S31-","score",55.8900353673644
"11002S41-","score",29.3094925605301
"11002S42-","score",23.1547251420837
"11002S43-","score",22.1662652822367
"11002T00-","score",47.7349660506807
"11002T01-","score",40.0048145340292
"11002T02-","score",45.0373393141903
"11002T03-","score",25.9366425456996
"11002T04-","score",16.5768478754024
"11002T05-","score",39.4518027589826
"11002T09-","score",17.055053471094
"11002T10-","score",7.86788223720885
"11002T111","score",14.8615582286357
"11002T12-","score",8.99970029561893
"11002T13-","score",9.66722365775017
"11002T14-","score",9.57189615230241
"11002T180","score",8.72579185220337
"11002T20-","score",22.669436590115
"11002T21-","score",34.3044940218004
"11002T22-","score",23.4682908483575
"11002T23-","score",22.0093401689598
"11002T24-","score",25.6849996302473
"11002T25-","score",9.886516878555
"11002T30-","score",16.5128202827082
"11002T39-","score",23.3101567292212
"11002T412","score",15.5485216166434
"11002T42-","score",12.0741431025852
"11002U00-","score",11.88143102222
"11002U01-","score",15.7315646172413
"11002U02-","score",14.2123917828323
"11002U03-","score",7.73021239029572
"11002U09-","score",17.041366822582
"11002U10-","score",13.9967971140246
"11002U11-","score",13.1359415371202
"11002U20-","score",21.1223026603982
"11002U21-","score",23.5533789818686
"11002U22-","score",46.8878597260892
"11002U30-","score",8.29041591483799
"11002U31-","score",10.2621871666591
"11002U32-","score",6.16120190561601
"11002U33-","score",8.87871069393804
"11002U40-","score",4.29210555939217
"11002U41-","score",10.9011865472945
"11002U43-","score",5.27552127720195
"11002U47-","score",4.57960615680035
"11002U57-","score",11.1776275834684
"11002U5MA","score",10.0521633781821
"11002U60-","score",19.5286486676529
"11002U69-","score",10.0182101800399
"11002V00-","score",22.4397633295488
"11002V01-","score",18.7442434667965
"11002V02-","score",28.1418297289873
"11002V03-","score",22.1378662322312
"11002V04-","score",21.3466743181761
"11002V05-","score",21.8578982688297
"11002V07-","score",19.5700817470368
"11002V099","score",18.4818199019764
"11002V10-","score",28.7697136099459
"11002V11-","score",18.3006494898126
"11002V12-","score",49.7705670604727
"11002V13-","score",29.2125706774489
"11002V14-","score",22.1944744473532
"11002V19-","score",38.9151984256257
"11002V20-","score",12.5899054408132
"11002V21-","score",45.2881205706099
"11002V22-","score",9.5629195958925
"11002V23-","score",5.39478653596023
"11002V29-","score",18.841791384841
"11002V301","score",41.20475059904
"11002V312","score",10.5644191437166
"11002V322","score",4.84459232733325
"11002V373","score",13.8965929617225
"11004A00-","score",3.62593406836043
"11004A01-","score",1.67124633413665
"11004A02-","score",2.27351115509215
"11004A03-","score",3.28360283184583
"11004A081","score",6.80153847558308
"11004A09-","score",4.06266259096947
"11004A10-","score",4.19131700733739
"11004A18-","score",10.6421629921812
"11004A19-","score",4.28469117928614
"11004A21-","score",6.74117641168889
"11004A220","score",3.61163703820961
"11004A23-","score",5.62214973059626
"11004A242","score",2.49682453761906
"11004A29-","score",11.8181275549049
"11004B000","score",2.81913649656143
"11004B010","score",1.45044549566033
"11004B022","score",1.89002198204738
"11004B081","score",5.55861246322157
"11004B090","score",5.34805405105761
"11004B19-","score",4.03743707322031
"11005A00-","score",22.0290134784855
"11005A01-","score",24.128331953606
"11005A02-","score",19.0676533196338
"11005A03-","score",28.0975588360444
"11005A04-","score",41.2470565164788
"11005A051","score",14.3592756110464
"11005A072","score",15.9140416247022
"11005A093","score",20.0600422923523
"11005A10-","score",16.4492397021462
"11005A184","score",13.9148326370244
"11005A191","score",13.8744595067002
"11005A20-","score",28.0494305869565
"11005A211","score",8.84451449032281
"11005A22-","score",5.80942409200877
"11005A232","score",16.4922024586282
"11005A242","score",4.92024040223246
"11005A25-","score",3.47038871202265
"11005A30-","score",25.4673171954262
"11007A00-","score",11.1916155013195
"11007A01-","score",7.15478163917559
"11007A020","score",2.22877064336628
"11007A03-","score",6.42191508361711
"11007A04-","score",5.88654305333415
"11007A080","score",8.82725514692108
"11007A09-","score",10.5944241406528
"11008A00-","score",8.65308927550763
"11008A01-","score",13.0574380025072
"11008A020","score",6.31365021768038
"11008A03-","score",3.96512728176345
